[2025-10-11 18:26:09] {jeet1} ('127.0.0.1', 61937) :- joined the room
[2025-10-11 18:49:18] {jeet} ('127.0.0.1', 65066) :- s
[2025-10-11 18:49:18] {jeet} ('127.0.0.1', 65066) :- d
[2025-10-11 18:49:18] {jeet} ('127.0.0.1', 65066) :- s
[2025-10-11 18:49:18] {jeet} ('127.0.0.1', 65066) :- d
[2025-10-11 18:49:19] {jeet} ('127.0.0.1', 65066) :- s
[2025-10-11 18:49:19] {jeet} ('127.0.0.1', 65066) :- d
[2025-10-11 18:49:19] {jeet} ('127.0.0.1', 65066) :- s
[2025-10-11 18:49:19] {jeet} ('127.0.0.1', 65066) :- d
[2025-10-11 18:49:19] {jeet} ('127.0.0.1', 65066) :- s
[2025-10-11 18:49:19] {jeet} ('127.0.0.1', 65066) :- ds
[2025-10-11 18:49:20] {jeet} ('127.0.0.1', 65066) :- ds
[2025-10-11 18:49:20] {jeet} ('127.0.0.1', 65066) :- d
[2025-10-11 18:49:20] {jeet} ('127.0.0.1', 65066) :- s
[2025-10-11 18:49:20] {jeet} ('127.0.0.1', 65066) :- d
[2025-10-11 18:49:20] {jeet} ('127.0.0.1', 65066) :- s
[2025-10-11 18:49:21] {jeet} ('127.0.0.1', 65066) :- ds
[2025-10-11 18:49:21] {jeet} ('127.0.0.1', 65066) :- d
[2025-10-11 18:49:21] {jeet} ('127.0.0.1', 65066) :- s
[2025-10-11 18:49:21] {jeet} ('127.0.0.1', 65066) :- ds
[2025-10-11 18:49:21] {jeet} ('127.0.0.1', 65066) :- d
[2025-10-11 18:49:44] {jeet} ('127.0.0.1', 65078) :- d
[2025-10-11 18:49:44] {jeet} ('127.0.0.1', 65078) :- asa
[2025-10-11 18:49:44] {jeet} ('127.0.0.1', 65078) :- s
[2025-10-11 18:49:44] {jeet} ('127.0.0.1', 65078) :- a
[2025-10-11 18:49:45] {jeet} ('127.0.0.1', 65078) :- s
[2025-10-11 18:49:45] {jeet} ('127.0.0.1', 65078) :- as
[2025-10-11 18:49:46] {jeet} ('127.0.0.1', 65078) :- a
[2025-10-11 18:49:46] {jeet} ('127.0.0.1', 65078) :- s
[2025-10-11 18:49:46] {jeet} ('127.0.0.1', 65078) :- sa
[2025-10-11 18:49:46] {jeet} ('127.0.0.1', 65078) :- s
[2025-10-11 18:49:53] {jeet} ('127.0.0.1', 65066) :- ssd
[2025-10-11 18:49:53] {jeet} ('127.0.0.1', 65066) :- s
[2025-10-11 18:49:53] {jeet} ('127.0.0.1', 65066) :- ds
[2025-10-11 18:49:54] {jeet} ('127.0.0.1', 65066) :- d
[2025-10-11 18:49:54] {jeet} ('127.0.0.1', 65066) :- s
